Kingdom,Phylum,Class,Order,Family,Genus,Aerotolerance,Aerotolerance_cat,Reference,Comments,Citation_link
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Other,unknown,unknown,Bergey's Manual,Based on Comamonadaceae,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,"Cho et al., 2016",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001438
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,A,aerotolerant,Bergey's Manual,NA,NA
,,,,Comamonadaceae,Pseudorhodoferax,A,aerotolerant,"Bergey's Manual; Bruland et al., 2009",Based on Comamonadaceae,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.006791-0
,,,,Comamonadaceae,Ramlibacter,unknown,unknown,Bergey's Manual,Based on Comamonadaceae,NA
NA,NA,NA,NA,NA,NA,A/FAN,aerotolerant,Bergey's manual,NA,NA
NA,NA,NA,NA,NA,NA,Unknown,unknown,Bergey's manual,NA,NA
,,,,Comamonadaceae,Rivibacter,unknown,unknown,Bergey's Manual,Based on Comamonadaceae,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira,FAN,aerotolerant,"Bergey's manual (based on family); Siddiqi et al., 2019",Based on Comamonadaceae,https://link.springer.com/article/10.1007/s10482-019-01341-0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Xenophilus,unknown,unknown,Bergey's manual (based on family),Based on Comamonadaceae,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Coralloluteibacterium,Other, ,unknown,NA,NA,NA
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,OAN,nonaerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriales Incertae Sedis,Other, ,unknown,NA,NA,NA
,,,,Coriobacteriales Incertae Sedis,Raoultibacter,NA,unknown,Not on Bergey's,Have not looked from beyond Bergey's,NA
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,A/FA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales Incertae Sedis,Tomitella, ,unknown,"Katayama et al., 2010",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.017962-0
NA,NA,NA,NA,NA,NA,Unknown,unknown,Bergey's Manual,"""Strictly intracellular""",NA
NA,NA,NA,NA,NA,NA,FAN,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Other, ,unknown,NA,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Other,OA/FAN,aerotolerant,Bergey's Manual,Based on Cryomorphaceae,NA
NA,NA,NA,NA,NA,NA,OA/FAN,aerotolerant,"Wiese et al., 2018",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002509
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's manual,NA,NA
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus CC9902, ,unknown,not in Bergey's,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,A,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Lin et al., 2015",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.000126
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Liu et al., 2012",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.035766-0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Other,A,aerotolerant,Bergey's Manual,Based on Cyclobacteriaceae,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's manual,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,NA,unknown,Not on Bergey's,NA,NA
,,,,Defluviicoccaceae,Defluviicoccus,AN,aerotolerant,Bergey's Manual,Based on Defluviitaleaceae,NA
Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae UCG-011,AN,aerotolerant,Bergey's Manual based on Defluviitaleaceae,Based on Defluviitaleaceae,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's manual,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Demequinaceae,Demequina, ,unknown,"Yi et al., 2007",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64525-0
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Helcobacillus,A/FAN,aerotolerant,"Bergey's manual (based on family); Renvoise et al., 2009",Based on Dermabacteraceae,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.003319-0
NA,NA,NA,NA,NA,NA,unknown,unknown,"Tomida et al., 2011",NA,https://www.sciencedirect.com/science/article/abs/pii/S0723202011001585?via%3Dihub
NA,NA,NA,NA,NA,NA,A/MA,aerotolerant,Bergey's manual,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermacoccaceae,Flexivirga,A/MA,aerotolerant,Bergey's Manual,Based on Dermacoccaceae,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Ara et al., 2010",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.009936-0
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermacoccaceae,Other,A/MA,aerotolerant,Bergey's Manual,Based on Dermacoccaceae,NA
NA,NA,NA,NA,NA,NA,OAN,nonaerotolerant,"Villemur et al., 2006",NA,https://academic.oup.com/femsre/article/30/5/706/2399023
NA,NA,NA,NA,NA,NA,OAN,nonaerotolerant,Bergey's manual,NA,NA
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila,OAN,nonaerotolerant,Bergey's Manual,NA,NA
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,OAN,nonaerotolerant,Bergey's Manual,NA,NA
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Lawsonia,OAN,nonaerotolerant,Bergey's Manual,Based on Desulfovibrionaceae,NA
,,,,Desulfovibrionaceae,Mailhella,OAN,nonaerotolerant,Bergey's Manual,Based on Desulfovibrionaceae,NA
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Other,OAN,nonaerotolerant,Bergey's Manual,Based on Desulfovibrionaceae,NA
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,Other, ,unknown,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Arsenicitalea,A,aerotolerant,"Mu et al., 2016",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001543
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Other, ,unknown,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Pelagibacterium, ,unknown,not in Bergey's,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,A,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's manual,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Diplorickettsia,unknown,aerotolerant,Mediannikov et al. 2010,intracellular insect pathogen,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Other, ,unknown,NA,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella,OA (Intracellular)?,aerotolerant,Bergey's Manual,intracellular insect pathogen,NA
,,,,Dongiaceae,Dongia,NA,unknown,Not on Bergey's,Have not looked from beyond Bergey's,NA
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,FAN,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OAN,nonaerotolerant,Bergey's manual,NA,NA
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Adlercreutzia,OAN,nonaerotolerant,Bergey's Manual,Some strains may be aerotolerant,NA
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Asaccharobacter,AN,aerotolerant,Bergey's Manual,Based on Eggerthellaceae,NA
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,DNF00809,OAN?,nonaerotolerant,Bergey's manual (based on majority rule in family Eggerthellaceae ),Based on Eggerthellaceae,NA
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthella,OAN,nonaerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus,FA,aerotolerant,Clavel et al. 2009,Not in Bergey's,NA
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter,OAN,nonaerotolerant,"Wurdemann et al., 2009, Bergey's Manual",NA,NA
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Other,AN,aerotolerant,Bergey's Manual,Based on Eggerthellaceae,NA
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Parvibacter,OA,aerotolerant,"Clavel et al., 2013",not in Bergey's,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Aquamonas,FAN,aerotolerant,"Bergey's Manual, Degelmann et al., 2016Dorlands medical dictionary",Based on Enterobacteriaceae,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Atlantibacter,FAN,aerotolerant,"Bergey's Manual, Degelmann et al., 2016Dorlands medical dictionary",Based on Enterobacteriaceae,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Buttiauxella,FA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,FAN,aerotolerant,"Bergey's Manual, Degelmann et al., 2010",NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,FAN,aerotolerant,"Bergey's Manual, Degelmann et al., 2011",NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,A/FA,aerotolerant,Bergey's Manual (based on Escherichia),Based on Escherichia,NA
NA,NA,NA,NA,NA,NA,FAN,aerotolerant,"Gao et al., 2017",NA,https://www.microbiologyresearch.org/docserver/fulltext/ijsem/67/12/4962_ijsem002358.pdf?expires=1716543172&id=id&accname=guest&checksum=5F3549B88F3DF66134B8977058E51E1B
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,FAN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,FAN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,FAN,aerotolerant,Bergey's manual Dorlands medical dictionary (based on family),Based on Enterobacteriaceae,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Other,FAN,aerotolerant,"Bergey's Manual, Degelmann et al., 2016Dorlands medical dictionary",Based on Enterobacteriaceae,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,FAN,aerotolerant,"Bergey's Manual, Degelmann et al., 2016 Dorlands medical dictionary",Based on Enterobacteriaceae,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,FAN,aerotolerant,"Bergey's Manual, Degelmann et al., 2015",NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Yokenella,FAN,aerotolerant,"Bergey's Manual, Degelmann et al., 2016",NA,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,FA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Other, ,unknown,NA,NA,NA
Bacteria,Firmicutes,Bacilli,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma, ,unknown,not in Bergey's,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,FAN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Other, ,unknown,NA,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,FAN,aerotolerant,Bergey's Manual,NA,NA
,,,,Erwiniaceae,Phaseolibacter,NA,unknown,Not on Bergey's,Have not looked from beyond Bergey's,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Siccibacter, ,unknown,not in Bergey's,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Tatumella,FAN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Candidatus Stoquefichus,A/FA?,aerotolerant,Bergey's Manual (aerotolerance and sporulation information based on family Erysipelotrichaceae - gram stain information based on order Erysipelotrichales,Based on Erysipelatoclostridiaceae,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,OAN,nonaerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Coprobacillus,OAN,nonaerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,OAN,nonaerotolerant,"Yutin & Galperin, 2013",Not in Bergey's,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelotrichaceae UCG-003,A/FAN,aerotolerant,Bergey's Manual based on Erysipelotrichaceae,Based on Erysipelatoclostridiaceae,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Other,A/FAN,aerotolerant,Bergey's Manual,Based on Erysipelatoclostridiaceae,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,[Clostridium] innocuum group,A/FAN,aerotolerant,Bergey's Manual based on Erysipelotrichaceae,Based on Erysipelotrichaceae,NA
,,,,Erysipelotrichaceae,Breznakia,A/FAN,aerotolerant,Bergey's Manual,Based on Erysipelatoclostridiaceae,NA
,,,,Erysipelotrichaceae,Dielma,A/FAN,aerotolerant,Bergey's Manual,Based on Erysipelatoclostridiaceae,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Dubosiella,OAN,nonaerotolerant,"Cox, L. M., Sohn, J., Tyrrell, K. L., Citron, D. M., Lawson, P. A., Patel, N. B., ... & Blaser, M. J. (2017). Description of two novel members of the family Erysipelotrichaceae: Ileibacterium valens gen. nov., sp. nov. and Dubosiella newyorkensis, gen. nov., sp. nov., from the murine intestine, and emendation to the description of Faecalibacterium rodentium. International journal of systematic and evolutionary microbiology, 67(5), 1247.",NA,NA
NA,NA,NA,NA,NA,NA,FAN,aerotolerant,Bergey's manual,NA,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae UCG-008,A/FAN,aerotolerant,Bergey's Manual based on Erysipelotrichaceae,Based on Erysipelotrichaceae,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,OAN,nonaerotolerant,"Chang, D. H., Rhee, M. S., Ahn, S., Bang, B. H., Oh, J. E., Lee, H. K., & Kim, B. C. (2015). Faecalibaculum rodentium gen. nov., sp. nov., isolated from the faeces of a laboratory mouse. Antonie Van Leeuwenhoek, 108(6), 1309-1318.",NA,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,A/FAN,aerotolerant,Bergey's Manual based on Erysipelotrichaceae,Based on Erysipelotrichaceae,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,A/FAN,aerotolerant,Bergey's Manual based on Erysipelotrichaceae,Based on Erysipelotrichaceae,NA
NA,NA,NA,NA,NA,NA,OAN,nonaerotolerant,Bergey's manual,NA,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,A/FAN,aerotolerant,Bergey's Manual based on Erysipelotrichaceae,Based on Erysipelotrichaceae,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Other,A/FAN,aerotolerant,Bergey's Manual,Based on Erysipelotrichaceae,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,AN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,A/FAN,aerotolerant,Bergey's Manual based on Erysipelotrichaceae,Based on Erysipelotrichaceae,NA
NA,NA,NA,NA,NA,NA,OAN,nonaerotolerant,Bergey's manual,NA,NA
NA,NA,NA,NA,NA,NA,OAN,nonaerotolerant,Bergey's manual,NA,NA
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Other,OAN,nonaerotolerant,Bergey's Manual,Based on Eubacteriaceae,NA
Bacteria,Actinobacteriota,Actinobacteria,Euzebyales,Euzebyaceae,Other, ,unknown,NA,NA,NA
Bacteria,Firmicutes,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,FAN,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OAN,nonaerotolerant,Bergey's manual,NA,NA
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Other, ,unknown,NA,NA,NA
NA,NA,NA,NA,NA,NA,OAN,nonaerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,AN,aerotolerant,Bergey's Manual,"Said to be anaerobic but not 'obligate' specifically, so listing as aerotolerant",NA
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Tissierella,OAN,nonaerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OAN,nonaerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aequorivita,A,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,FAN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,A/MA/AN,aerotolerant,Bergey's manual (based on family),Based on Flavobacteriaceae,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Arenibacter,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantiacicella,A/MA/AN,aerotolerant,Bergey's Manual,Based on Flavobacteriaceae,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Song et al., 2015",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000662
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's manual,NA,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Wang et al., 2017",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002439
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Han et al., 2017",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002239
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Cho et al., 2017",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002292
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,A,aerotolerant,Bergey's Manual,NA,NA
,,,,Flavobacteriaceae,Galbibacter,A/MA/AN,aerotolerant,Bergey's Manual,Based on Flavobacteriaceae,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gelidibacter,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia,OA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Imtechella,A/MA/AN,aerotolerant,Bergey's Manual,Based on Flavobacteriaceae,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,OA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Romanenko et al., 2007",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64662-0
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,A/FAN,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Myroides,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Other,A/MA/AN,aerotolerant,Bergey's Manual,Based on Flavobacteriaceae,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,"Yu et al., 2012",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.037515-0
,,,,Flavobacteriaceae,Pseudozobellia,A/MA/AN,aerotolerant,Bergey's Manual,Based on Flavobacteriaceae,NA
NA,NA,NA,NA,NA,NA,unknown,unknown,"Yoon et al., 2017",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65253-0
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Subsaxibacter,OA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,"Chen et al., 2016",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001184
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Frankia,A/MA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,MA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,OAN,nonaerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Clostridia,Eubacteriales,Garciellaceae,Rhabdanaerobium,OAN,nonaerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,FAN,aerotolerant,Bergey's Manual,NA,NA
,,,,Geminicoccaceae,Arboricoccus,NA,unknown,Not on Bergey's,Have not looked from beyond Bergey's,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus Alysiosphaera, ,unknown,not in Bergey's,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Geminicoccus, ,unknown,not in Bergey's,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Other, ,unknown,NA,NA,NA
Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Other,OA,aerotolerant,Bergey's Manual,Based on Gemmataceae,NA
Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Other, ,unknown,NA,NA,NA
NA,NA,NA,NA,NA,NA,A/MA,aerotolerant,"Pascual et al., 2018",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002619
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Antricoccus,A,aerotolerant,Bergey's Manual,Based on Geodermatophilaceae,NA
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Klenkia,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Modestobacter,A,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,A,aerotolerant,Bergey's manual,NA,NA
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Gottschalkia,Other, ,unknown,NA,NA,NA
